pdf_report_date,airport,category,subcategory,year,count
2021-02,ABE,,,2018,29
2021-02,ABE,Civil Rights,,2018,1
2021-02,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2018,1
2021-02,ABE,Customer Service,,2018,5
2021-02,ABE,Customer Service,Customer Service - Others,2018,1
2021-02,ABE,Customer Service,Customer Service - TSO,2018,4
2021-02,ABE,Locks,,2018,1
2021-02,ABE,Locks,Locks - Missing or Damaged Lock,2018,1
2021-02,ABE,Mishandling of Passenger Property,,2018,10
2021-02,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Carry-on Luggage,2018,1
2021-02,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Checked Baggage,2018,7
2021-02,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Items--Carry-on or Checked,2018,2
2021-02,ABE,Patdown,,2018,2
2021-02,ABE,Patdown,Patdown - Flyer,2018,2
2021-02,ABE,Property - Special Handling,,2018,3
2021-02,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2018,2
2021-02,ABE,Property - Special Handling,Property - Special Handling - Missing Items - Checked,2018,1
2021-02,ABE,Screening,,2018,7
2021-02,ABE,Screening,Screening - Inconsistency,2018,1
2021-02,ABE,Screening,Screening - Lengthy Lines,2018,1
2021-02,ABE,Screening,Screening - Procedures/Process,2018,5
2021-02,ABE,,,2019,36
2021-02,ABE,Civil Rights,,2019,1
2021-02,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2019,1
2021-02,ABE,Customer Service,,2019,6
2021-02,ABE,Customer Service,Customer Service - Others,2019,3
2021-02,ABE,Customer Service,Customer Service - TSO,2019,3
2021-02,ABE,Locks,,2019,1
2021-02,ABE,Locks,Locks - Missing or Damaged Lock,2019,1
2021-02,ABE,Mishandling of Passenger Property,,2019,11
2021-02,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Carry-on Luggage,2019,1
2021-02,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Dam,2019,7
2021-02,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Dam,2019,1
2021-02,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Item,2019,2
2021-02,ABE,Patdown,,2019,1
2021-02,ABE,Patdown,Patdown - Children,2019,1
2021-02,ABE,Persons w/ Disabilities (PWD),,2019,3
2021-02,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Medically Necessary Medication and Medical Supplies,2019,1
2021-02,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Mobility Disability (Not Wheelchair or Scooter),2019,2
2021-02,ABE,Property - Special Handling,,2019,7
2021-02,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2019,2
2021-02,ABE,Property - Special Handling,Property - Special Handling - Missing Items - Carry-On,2019,1
2021-02,ABE,Property - Special Handling,Property - Special Handling - Missing Items - Checke,2019,4
2021-02,ABE,Screening,,2019,6
2021-02,ABE,Screening,Screening - Inconsistency,2019,1
2021-02,ABE,Screening,Screening - Procedures/Process,2019,5
2021-02,ABE,,,2020,22
2021-02,ABE,Civil Rights,,2020,2
2021-02,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimina,2020,2
2021-02,ABE,Customer Service,,2020,2
2021-02,ABE,Customer Service,Customer Service - TSO,2020,2
2021-02,ABE,Locks,,2020,1
2021-02,ABE,Locks,Locks - Missing or Damaged Lock,2020,1
