pdf_report_date,airport,year_month,count
2019-02,ABE,2015-01,0
2019-02,ABE,2015-02,0
2019-02,ABE,2015-03,0
2019-02,ABE,2015-04,0
2019-02,ABE,2015-05,2
2019-02,ABE,2015-06,1
2019-02,ABE,2015-07,3
2019-02,ABE,2015-08,0
2019-02,ABE,2015-09,2
2019-02,ABE,2015-10,5
2019-02,ABE,2015-11,0
2019-02,ABE,2015-12,1
2019-12,ABE,2016-01,1
2019-12,ABE,2016-02,0
2019-12,ABE,2016-03,1
2019-12,ABE,2016-04,2
2019-12,ABE,2016-05,2
2019-12,ABE,2016-06,2
2019-12,ABE,2016-07,2
2019-12,ABE,2016-08,4
2019-12,ABE,2016-09,2
2019-12,ABE,2016-10,1
2019-12,ABE,2016-11,2
2019-12,ABE,2016-12,3
2019-12,ABE,2017-01,1
2019-12,ABE,2017-02,4
2019-12,ABE,2017-03,3
2019-12,ABE,2017-04,1
2019-12,ABE,2017-05,3
2019-12,ABE,2017-06,3
2019-12,ABE,2017-07,2
2019-12,ABE,2017-08,4
2019-12,ABE,2017-09,1
2019-12,ABE,2017-10,1
2019-12,ABE,2017-11,3
2019-12,ABE,2017-12,3
2021-06,ABE,2018-01,2
2021-06,ABE,2018-02,3
2021-06,ABE,2018-03,5
2021-06,ABE,2018-04,3
2021-06,ABE,2018-05,3
2021-06,ABE,2018-06,2
2021-06,ABE,2018-07,5
2021-06,ABE,2018-08,3
2021-06,ABE,2018-09,3
2021-06,ABE,2018-10,3
2021-06,ABE,2018-11,4
2021-06,ABE,2018-12,0
2022-05,ABE,2019-01,1
2022-05,ABE,2019-02,1
2022-05,ABE,2019-03,0
2022-05,ABE,2019-04,2
2022-05,ABE,2019-05,7
2022-05,ABE,2019-06,6
2022-05,ABE,2019-07,5
2022-05,ABE,2019-08,5
2022-05,ABE,2019-09,2
2022-05,ABE,2019-10,5
2022-05,ABE,2019-11,3
2022-05,ABE,2019-12,1
2023-05,ABE,2020-01,3
2023-05,ABE,2020-02,3
2023-05,ABE,2020-03,4
2023-05,ABE,2020-04,0
2023-05,ABE,2020-05,0
2023-05,ABE,2020-06,1
2023-05,ABE,2020-07,1
2023-05,ABE,2020-08,1
2023-05,ABE,2020-09,0
2023-05,ABE,2020-10,0
2023-05,ABE,2020-11,2
2023-05,ABE,2020-12,1
2023-05,ABE,2021-01,2
2023-05,ABE,2021-02,1
2023-05,ABE,2021-03,0
2023-05,ABE,2021-04,2
2023-05,ABE,2021-05,0
2023-05,ABE,2021-06,3
2023-05,ABE,2021-07,3
2023-05,ABE,2021-08,3
2023-08,ABE,2021-09,1
2024-02,ABE,2021-10,7
2024-02,ABE,2021-11,3
2024-02,ABE,2021-12,6
2024-02,ABE,2022-01,5
2024-02,ABE,2022-02,6
2024-02,ABE,2022-03,9
2024-02,ABE,2022-04,15
2024-02,ABE,2022-05,10
2024-02,ABE,2022-06,18
2024-02,ABE,2022-07,4
2024-02,ABE,2022-08,10
2024-02,ABE,2022-09,17
2024-02,ABE,2022-10,16
2024-02,ABE,2022-11,9
2024-02,ABE,2022-12,12
2024-02,ABE,2023-01,11
2024-02,ABE,2023-02,14
2024-02,ABE,2023-03,9
2024-02,ABE,2023-04,18
2024-02,ABE,2023-05,8
2024-02,ABE,2023-06,7
